Session ID,Publish ID,Collector,Start Date,End Date,Status,Progress,Duration,"Please take a few minutes to fill out the following questionnaire. This questionnaire borrows from a series of questions that are meant to allow you to self-assess your previous behavior as it relates to time, money, relationships, and logic. The intent of this survey is to inform us about your background as a professional in your field, and meant to guide our ongoing research in understanding personalities. This survey will not be tactically used for other than informational purposes in guiding our understanding of your field. Lastly, the survey collects no personal data beyond general demographic details and we will only use aggregated anonymous data to draw conclusions.",Profession,Title,Gender,Age,Ethnicity,MD Purchase Involvement,MD Purchase Hours/Week,CRT Q1,CRT Q2,CRT Q3,CRT Q4,CRT Q5,CRT Q6,CRT Q7,TP Q1,TP Q2,TP Q3A,TP Q3B,TP Q3C,TP Q3D,TP Q3E,RSK Q1,RSK Q2A,RSK Q2B,RSK Q2C,RSK Q2D,RSK Q2E,RSK Q2F,RSK Q2G,RSK Q2H,"Choices are affected by context. We are interested in whether you are taking the time to read each question. To show that you are paying attention, please select only the ""none of the above"" option as your answer.",STI Q1,STI Q2A,STI Q2B,STI Q2C,STI Q2D,STI Q2E,STI Q2F,STI Q2G,TRU Q1,ALT Q1,ALT Q2,"Congrats, you've finished the survey! Thank you for taking the time to give us your invaluable responses. If you are interested in learning more, the survey leveraged several widely used survey measures from ongoing social and behavioral science research from Frederick (2005), Toplak, West, & Stanovich (2014), and Kahneman and Tversky (1992). Please feel free to reach out to us if you have any questions and would like to understand the behavioral science work we do: https://creativescience.co/contact-us/",aid,id,score
1662b60f-2cc3-420d-8d6f-41ad48e608d7,174b9f3e-c2c4-4901-85bc-b5b0257a7a9b,Audience Panel,"Wed, Nov 25, 2020 4:30 PM","Wed, Nov 25, 2020 4:43 PM",complete,100,789,11/25/2020 23:30,General Physician,Physician,Male,35,White,8,20,5,5,24,4,29,has lost money,No,6,7,$340 a year from now,$255 a year from now,$213 a year from now,$170 now,$170 now,7,50/50 chance of $565,50/50 chance of $565,50/50 chance of $565,50/50 chance of $565,100% chance of $320,100% chance of $410,100% chance of $480,100% chance of $550,None of the above,$60 ,8,8,6,6,7,8,5,8,6,300,11/25/2020 23:43,644c3d1a-6617-4fc8-b8c0-346392599b5f.5fbee8d0-c1a8-da27-104e-4de86214a8ea,,
573c3cea-68cb-49b0-bbb5-e834150a4f07,174b9f3e-c2c4-4901-85bc-b5b0257a7a9b,Audience Panel,"Wed, Nov 25, 2020 5:21 PM","Wed, Nov 25, 2020 5:29 PM",complete,100,481,11/26/2020 0:21,Healthcare Admin,I’m an administrator for a hospital.,Male,41,White,9,20,9,100,24,6,1,"broke even, or has the same amount started with",No,5,5,$340 a year from now,$170 now,$170 now,$170 now,$170 now,5,50/50 chance of $565,50/50 chance of $565,50/50 chance of $565,50/50 chance of $565,50/50 chance of $565,100% chance of $410,100% chance of $480,100% chance of $550,None of the above,$20 ,7,1,1,3,10,10,1,5,10,100,11/26/2020 0:29,644c3d1a-6617-4fc8-b8c0-346392599b5f.5fbef4b3-b000-6a54-74d0-524b7c25dfbd,,
fadddb05-1bd0-43b7-a21d-e4ff7d8ae919,174b9f3e-c2c4-4901-85bc-b5b0257a7a9b,Audience Panel,"Thu, Nov 26, 2020 10:15 AM","Thu, Nov 26, 2020 10:27 AM",complete,100,694,11/26/2020 17:15,Surgeon,Professor of Surgery,Male,69,White,10,12,10,100,24,9,15,is ahead of where he began,No,8,6,$340 a year from now,$255 a year from now,$213 a year from now,$170 now,$170 now,6,50/50 chance of $565,50/50 chance of $565,50/50 chance of $565,100% chance of $230,100% chance of $320,100% chance of $410,100% chance of $480,100% chance of $550,None of the above,No Gift,5,5,5,5,8,9,8,7,8,1000,11/26/2020 17:27,644c3d1a-6617-4fc8-b8c0-346392599b5f.5fbfe26d-3f19-8f50-1eca-f40cf0a6c21c,,
91311dce-47dc-4b00-a0e8-d423223ed098,174b9f3e-c2c4-4901-85bc-b5b0257a7a9b,Audience Panel,"Thu, Nov 26, 2020 10:36 AM","Thu, Nov 26, 2020 10:43 AM",complete,100,404,11/26/2020 17:36,Nurse,Lpn,Male,44,White,6,2,1,5,12,4,30,has lost money,No,8,7,$340 a year from now,$255 a year from now,$170 now,$170 now,$170 now,4,50/50 chance of $565,50/50 chance of $565,50/50 chance of $565,100% chance of $230,100% chance of $320,100% chance of $410,100% chance of $480,100% chance of $550,None of the above,$40 ,6,3,1,1,8,9,8,8,6,0,11/26/2020 17:43,644c3d1a-6617-4fc8-b8c0-346392599b5f.5fbfe74e-d4c7-a04f-4d94-649701dce943,,
e09a88c5-b84c-444d-916f-bb1c712c5219,174b9f3e-c2c4-4901-85bc-b5b0257a7a9b,Audience Panel,"Thu, Nov 26, 2020 6:49 PM","Thu, Nov 26, 2020 7:07 PM",complete,100,1053,11/27/2020 1:49,Operating Room Staff,Surgical Nurse Manager,Female,40,White,9,5,1,50,24,9,15,is ahead of where he began,Yes,8,5,$340 a year from now,$255 a year from now,$213 a year from now,$170 now,$170 now,7,50/50 chance of $565,50/50 chance of $565,50/50 chance of $565,50/50 chance of $565,100% chance of $320,100% chance of $410,100% chance of $480,100% chance of $550,None of the above,$20 ,5,6,6,7,10,9,10,4,8,500,11/27/2020 2:07,644c3d1a-6617-4fc8-b8c0-346392599b5f.5fc05ae9-e004-3cf1-4df4-719bf44f0d39,,
5fb0ff94-4e5d-41c0-a2cc-1b5156c63162,174b9f3e-c2c4-4901-85bc-b5b0257a7a9b,Audience Panel,"Fri, Nov 27, 2020 10:30 AM","Fri, Nov 27, 2020 10:40 AM",complete,100,571,11/27/2020 17:30,Surgeon,Vice president,Male,30,White,10,30,9,100,24,6,15,is ahead of where he began,No,8,5,$170 now,$255 a year from now,$170 now,$170 now,$170 now,9,50/50 chance of $565,100% chance of $70,50/50 chance of $565,50/50 chance of $565,100% chance of $320,50/50 chance of $565,100% chance of $480,50/50 chance of $565,None of the above,$60 ,9,10,9,8,10,9,8,9,4,300,11/27/2020 17:40,644c3d1a-6617-4fc8-b8c0-346392599b5f.5fc13757-a018-a768-ca50-88e3bec064bc,,
74d24415-70bf-4954-a318-1ba81fc28669,174b9f3e-c2c4-4901-85bc-b5b0257a7a9b,Audience Panel,"Fri, Nov 27, 2020 10:31 AM","Fri, Nov 27, 2020 10:37 AM",complete,100,336,11/27/2020 17:31,Nurse,Nurse manager,Male,43,White,5,1,10,100,24,12,30,is ahead of where he began,No,3,9,$340 a year from now,$170 now,$170 now,$170 now,$170 now,5,50/50 chance of $565,50/50 chance of $565,100% chance of $150,100% chance of $230,100% chance of $320,100% chance of $410,100% chance of $480,100% chance of $550,None of the above,$60 ,5,6,2,7,8,10,7,6,6,100,11/27/2020 17:37,644c3d1a-6617-4fc8-b8c0-346392599b5f.5fc137d4-2ffb-1ecc-a273-e222e11f9a65,,
1af3029f-ef49-422f-ae36-89f937b72888,174b9f3e-c2c4-4901-85bc-b5b0257a7a9b,Audience Panel,"Fri, Nov 27, 2020 10:38 AM","Fri, Nov 27, 2020 10:45 AM",complete,100,439,11/27/2020 17:38,Nurse,Nurse,Female,41,White,6,10,10,50,24,2,30,"broke even, or has the same amount started with",No,10,7,$170 now,$170 now,$170 now,$170 now,$170 now,10,50/50 chance of $565,50/50 chance of $565,50/50 chance of $565,50/50 chance of $565,100% chance of $320,100% chance of $410,100% chance of $480,100% chance of $550,None of the above,$20 ,1,1,1,1,10,10,10,8,10,700,11/27/2020 17:45,644c3d1a-6617-4fc8-b8c0-346392599b5f.5fc1396b-d2cd-6e81-293f-03638b12c80f,,
e259e2cf-672f-4732-889c-09fc325a0816,174b9f3e-c2c4-4901-85bc-b5b0257a7a9b,Audience Panel,"Fri, Nov 27, 2020 10:38 AM","Fri, Nov 27, 2020 10:48 AM",complete,100,568,11/27/2020 17:38,Healthcare Admin,Revenue Cycle Manager,Female,61,White,8,2,10,100,24,9,30,has lost money,No,7,7,$340 a year from now,$255 a year from now,$170 now,$170 now,$170 now,7,50/50 chance of $565,50/50 chance of $565,100% chance of $150,100% chance of $230,100% chance of $320,100% chance of $410,100% chance of $480,100% chance of $550,None of the above,No Gift,5,5,2,7,10,10,8,8,10,180,11/27/2020 17:48,644c3d1a-6617-4fc8-b8c0-346392599b5f.5fc1393a-0afe-bc95-0bb6-493f581187ba,,
54aa0675-808f-4223-9547-6188cea37305,174b9f3e-c2c4-4901-85bc-b5b0257a7a9b,Audience Panel,"Fri, Nov 27, 2020 10:39 AM","Fri, Nov 27, 2020 10:45 AM",complete,100,330,11/27/2020 17:39,Healthcare Admin,Director of IT,Male,37,White,9,17,9,100,49,7,30,is ahead of where he began,No,7,6,$340 a year from now,$255 a year from now,$170 now,$170 now,$170 now,4,100% chance of $35,100% chance of $70,100% chance of $150,100% chance of $230,100% chance of $320,100% chance of $410,100% chance of $480,100% chance of $550,None of the above,No Gift,7,7,7,6,9,8,4,4,9,18,11/27/2020 17:45,644c3d1a-6617-4fc8-b8c0-346392599b5f.5fc139ad-2b69-897d-b9b7-4091a79ec4b9,,
a891bbbf-6973-4c7e-ae8b-25ae8597f045,174b9f3e-c2c4-4901-85bc-b5b0257a7a9b,Audience Panel,"Fri, Nov 27, 2020 10:42 AM","Fri, Nov 27, 2020 10:47 AM",complete,100,335,11/27/2020 17:42,General Physician,family physician,Male,49,White,6,3,10,5,24,4,29,has lost money,No,5,7,$340 a year from now,$170 now,$170 now,$170 now,$170 now,4,50/50 chance of $565,50/50 chance of $565,50/50 chance of $565,50/50 chance of $565,100% chance of $320,100% chance of $410,100% chance of $480,100% chance of $550,None of the above,$20 ,5,5,3,6,6,7,6,6,5,200,11/27/2020 17:47,644c3d1a-6617-4fc8-b8c0-346392599b5f.5fc13a0e-2503-b6f1-4e8c-0d33fbf85153,,
e1c1ad9d-63ba-4be0-bc5e-6201793676cc,174b9f3e-c2c4-4901-85bc-b5b0257a7a9b,Audience Panel,"Fri, Nov 27, 2020 10:44 AM","Fri, Nov 27, 2020 10:52 AM",complete,100,483,11/27/2020 17:44,Healthcare Admin,I oversee and manage 3 pediatric divisions within a hospital,Female,61,White,9,1,10,5,24,4,1,is ahead of where he began,No,3,4,$170 now,$170 now,$170 now,$170 now,$170 now,5,50/50 chance of $565,50/50 chance of $565,100% chance of $150,100% chance of $230,100% chance of $320,100% chance of $410,100% chance of $480,100% chance of $550,None of the above,No Gift,9,10,4,8,8,7,5,5,10,500,11/27/2020 17:52,644c3d1a-6617-4fc8-b8c0-346392599b5f.5fc13aac-8447-d708-3f74-933ffd60472a,,
d7547e4c-de4f-4d75-b177-19ba0b6ee09b,174b9f3e-c2c4-4901-85bc-b5b0257a7a9b,Audience Panel,"Fri, Nov 27, 2020 10:44 AM","Fri, Nov 27, 2020 10:48 AM",complete,100,251,11/27/2020 17:44,Healthcare Admin,Administration,Female,27,Black,6,10,1,100,16,10,30,has lost money,No,6,5,$170 now,$255 a year from now,$213 a year from now,$170 now,$170 now,6,50/50 chance of $565,50/50 chance of $565,50/50 chance of $565,50/50 chance of $565,50/50 chance of $565,50/50 chance of $565,100% chance of $480,100% chance of $550,None of the above,No Gift,4,4,2,4,4,6,6,6,7,200,11/27/2020 17:48,644c3d1a-6617-4fc8-b8c0-346392599b5f.5fc13ac7-a7c5-06f2-4b33-0890817015a6,,
727f01ab-a476-4269-97ce-084a109e6d4e,174b9f3e-c2c4-4901-85bc-b5b0257a7a9b,Audience Panel,"Fri, Nov 27, 2020 10:54 AM","Fri, Nov 27, 2020 10:59 AM",complete,100,340,11/27/2020 17:54,Nurse,Nursing,Female,30,Latino/Hispanic,2,1,1,100,48,12,15,has lost money,No,9,6,$170 now,$170 now,$170 now,$191 a year from now,$175 a year from now,9,50/50 chance of $565,50/50 chance of $565,50/50 chance of $565,50/50 chance of $565,50/50 chance of $565,50/50 chance of $565,50/50 chance of $565,100% chance of $550,None of the above,$100 ,9,8,9,9,9,10,9,8,9,100,11/27/2020 17:59,644c3d1a-6617-4fc8-b8c0-346392599b5f.5fc13ced-76d4-9e0c-2490-16624eaf25a8,,
0ec74407-a638-49db-a100-eb667059385c,174b9f3e-c2c4-4901-85bc-b5b0257a7a9b,Audience Panel,"Fri, Nov 27, 2020 10:54 AM","Fri, Nov 27, 2020 11:07 AM",complete,100,766,11/27/2020 17:54,Healthcare Admin,i am manager,Female,32,White,10,20,10,100,24,9,15,"broke even, or has the same amount started with",Yes,10,10,$340 a year from now,$255 a year from now,$213 a year from now,$191 a year from now,$170 now,8,50/50 chance of $565,50/50 chance of $565,50/50 chance of $565,50/50 chance of $565,50/50 chance of $565,100% chance of $410,100% chance of $480,100% chance of $550,None of the above,$80 ,3,4,4,4,10,10,9,9,9,300,11/27/2020 18:07,644c3d1a-6617-4fc8-b8c0-346392599b5f.5fc13a88-6e63-e622-e509-cc03533bd0ed,,
ca850b6b-d666-4a8c-aa63-5c92fd9d5d01,174b9f3e-c2c4-4901-85bc-b5b0257a7a9b,Audience Panel,"Fri, Nov 27, 2020 11:03 AM","Fri, Nov 27, 2020 11:31 AM",complete,100,1688,11/27/2020 18:03,Surgeon,urologist,Male,52,Asian,8,2,1,5,47,4,15,has lost money,No,1,10,$340 a year from now,$255 a year from now,$170 now,$170 now,$170 now,2,50/50 chance of $565,50/50 chance of $565,100% chance of $150,100% chance of $230,100% chance of $320,100% chance of $410,100% chance of $480,100% chance of $550,None of the above,$80 ,3,3,1,1,10,10,3,10,9,800,11/27/2020 18:31,644c3d1a-6617-4fc8-b8c0-346392599b5f.5fc13ee6-7bf0-ab1b-620c-a2e033de636a,,
b6b39c42-a2c3-48a1-9fed-7ef89157d3f6,174b9f3e-c2c4-4901-85bc-b5b0257a7a9b,Audience Panel,"Fri, Nov 27, 2020 11:06 AM","Fri, Nov 27, 2020 11:11 AM",complete,100,270,11/27/2020 18:06,Nurse,NURSE,Female,30,White,10,22,10,100,24,6,15,is ahead of where he began,Yes,10,10,$170 now,$255 a year from now,$213 a year from now,$191 a year from now,$175 a year from now,10,50/50 chance of $565,50/50 chance of $565,50/50 chance of $565,50/50 chance of $565,50/50 chance of $565,50/50 chance of $565,50/50 chance of $565,50/50 chance of $565,None of the above,$20 ,10,10,9,7,8,8,9,9,9,0,11/27/2020 18:11,644c3d1a-6617-4fc8-b8c0-346392599b5f.5fc14018-bb1c-cf30-df0b-5064252f6bd3,,
570c2373-92c4-4c37-aaaf-d04e61083ea1,174b9f3e-c2c4-4901-85bc-b5b0257a7a9b,Audience Panel,"Fri, Nov 27, 2020 11:09 AM","Fri, Nov 27, 2020 11:15 AM",complete,100,368,11/27/2020 18:09,Nurse,Registered Nurse,Male,33,White,9,15,9,100,24,4,30,is ahead of where he began,Yes,9,2,$340 a year from now,$255 a year from now,$170 now,$170 now,$170 now,8,100% chance of $35,100% chance of $70,100% chance of $150,100% chance of $230,100% chance of $320,100% chance of $410,100% chance of $480,100% chance of $550,None of the above,$20 ,3,4,3,5,3,10,5,9,8,900,11/27/2020 18:15,644c3d1a-6617-4fc8-b8c0-346392599b5f.5fc140b6-d831-ea6d-fc30-1a8adfd96470,,
a8878f32-81e0-4ce3-8815-9bb6fce419f7,174b9f3e-c2c4-4901-85bc-b5b0257a7a9b,Audience Panel,"Fri, Nov 27, 2020 11:09 AM","Fri, Nov 27, 2020 11:21 AM",complete,100,681,11/27/2020 18:09,Healthcare Admin,Clinic manager,Female,40,Asian,6,6,10,20,24,12,1,has lost money,Yes,10,10,$340 a year from now,$170 now,$170 now,$170 now,$170 now,8,50/50 chance of $565,50/50 chance of $565,50/50 chance of $565,100% chance of $230,100% chance of $320,100% chance of $410,100% chance of $480,100% chance of $550,None of the above,$60 ,5,5,5,5,10,8,8,5,9,0,11/27/2020 18:21,644c3d1a-6617-4fc8-b8c0-346392599b5f.5fc1409b-01c4-6411-63fa-9ede69cde5e3,,
b14554a7-8531-432f-b26f-27831a93b98f,174b9f3e-c2c4-4901-85bc-b5b0257a7a9b,Audience Panel,"Fri, Nov 27, 2020 11:11 AM","Fri, Nov 27, 2020 11:24 AM",complete,100,816,11/27/2020 18:11,Healthcare Admin,manager,Male,40,White,8,2,10,9,24,9,30,has lost money,No,8,9,$340 a year from now,$255 a year from now,$213 a year from now,$170 now,$170 now,7,50/50 chance of $565,50/50 chance of $565,50/50 chance of $565,50/50 chance of $565,50/50 chance of $565,50/50 chance of $565,50/50 chance of $565,100% chance of $550,None of the above,No Gift,10,9,8,10,10,10,10,8,10,1800,11/27/2020 18:24,644c3d1a-6617-4fc8-b8c0-346392599b5f.5fc1405c-5bd3-e08a-e3de-e50822a1756a,,
6df7010c-0135-41b6-aa49-76f00519339e,174b9f3e-c2c4-4901-85bc-b5b0257a7a9b,Audience Panel,"Fri, Nov 27, 2020 11:12 AM","Fri, Nov 27, 2020 11:52 AM",complete,100,2414,11/27/2020 18:12,General Physician,Internal doctor,Female,37,White,9,5,10,100,24,9,1,has lost money,No,9,8,$170 now,$170 now,$170 now,$170 now,$170 now,7,50/50 chance of $565,50/50 chance of $565,100% chance of $150,100% chance of $230,100% chance of $320,100% chance of $410,100% chance of $480,100% chance of $550,None of the above,$60 ,10,9,6,9,9,10,8,9,8,800,11/27/2020 18:52,644c3d1a-6617-4fc8-b8c0-346392599b5f.5fc140b0-9695-943a-7ec3-753962e960c6,,
6c82e979-8169-48d4-b8e7-cdc5c4c0657a,174b9f3e-c2c4-4901-85bc-b5b0257a7a9b,Audience Panel,"Fri, Nov 27, 2020 11:14 AM","Fri, Nov 27, 2020 11:21 AM",complete,100,401,11/27/2020 18:14,Nurse,Rn,Male,28,Black,8,20,10,1,24,6,1,is ahead of where he began,No,5,1,$170 now,$255 a year from now,$170 now,$170 now,$175 a year from now,2,50/50 chance of $565,50/50 chance of $565,100% chance of $150,100% chance of $230,50/50 chance of $565,100% chance of $410,100% chance of $480,100% chance of $550,None of the above,$60 ,5,5,1,1,10,10,10,7,7,800,11/27/2020 18:21,644c3d1a-6617-4fc8-b8c0-346392599b5f.5fc141c5-4c9e-ea46-da84-3220cca28d34,,
4967c6fc-6a49-4e36-9bd0-4bd4a1f22f7f,174b9f3e-c2c4-4901-85bc-b5b0257a7a9b,Audience Panel,"Fri, Nov 27, 2020 11:14 AM","Fri, Nov 27, 2020 11:38 AM",complete,100,1422,11/27/2020 18:14,Surgeon,dr proo,Male,34,White,9,4,1,100,47,9,15,is ahead of where he began,Yes,8,9,$170 now,$170 now,$213 a year from now,$191 a year from now,$170 now,9,50/50 chance of $565,50/50 chance of $565,50/50 chance of $565,100% chance of $230,50/50 chance of $565,50/50 chance of $565,50/50 chance of $565,100% chance of $550,None of the above,$80 ,9,9,9,8,9,8,8,8,9,20,11/27/2020 18:38,644c3d1a-6617-4fc8-b8c0-346392599b5f.5fc13f35-24c1-f97b-feff-dce5febd808c,,
c12eb6ee-3335-4057-a873-1de152d3e5d4,174b9f3e-c2c4-4901-85bc-b5b0257a7a9b,Audience Panel,"Fri, Nov 27, 2020 11:17 AM","Fri, Nov 27, 2020 11:33 AM",complete,100,949,11/27/2020 18:17,Healthcare Admin,health services manager,Female,35,White,9,8,5,5,47,9,29,has lost money,No,9,7,$340 a year from now,$170 now,$170 now,$170 now,$170 now,8,50/50 chance of $565,50/50 chance of $565,50/50 chance of $565,100% chance of $230,100% chance of $320,100% chance of $410,100% chance of $480,100% chance of $550,None of the above,$80 ,5,5,3,4,10,10,10,8,9,400,11/27/2020 18:33,644c3d1a-6617-4fc8-b8c0-346392599b5f.5fc141a9-977f-4cfa-eff0-ba3f133d021c,,
590ba512-a086-4bf1-9fdb-36ccd49dfcaa,174b9f3e-c2c4-4901-85bc-b5b0257a7a9b,Audience Panel,"Fri, Nov 27, 2020 11:19 AM","Fri, Nov 27, 2020 11:23 AM",complete,100,247,11/27/2020 18:19,Nurse,nurse,Female,64,White,6,2,10,100,2,5,3,has lost money,No,6,4,$170 now,$255 a year from now,$213 a year from now,$170 now,$170 now,6,50/50 chance of $565,50/50 chance of $565,100% chance of $150,100% chance of $230,100% chance of $320,100% chance of $410,100% chance of $480,100% chance of $550,None of the above,$20 ,6,6,4,6,6,6,6,5,8,500,11/27/2020 18:23,644c3d1a-6617-4fc8-b8c0-346392599b5f.5fc1414d-9404-9c51-8a7f-81acb938a695,,
575dcab3-3991-4400-beb2-f69eb8d0bf25,e78eebbc-4d1b-42e4-b05d-aeda7099a192,Audience Panel,"Sun, Nov 29, 2020 10:11 AM","Sun, Nov 29, 2020 10:20 AM",complete,100,532,11/29/2020 17:11,Nurse,Registered Nurse,Female,25,White,8,26,10,5,47,6,1,has lost money,Yes,9,8,$170 now,$170 now,$170 now,$170 now,$170 now,2,50/50 chance of $565,50/50 chance of $565,100% chance of $150,100% chance of $230,100% chance of $320,100% chance of $410,100% chance of $480,100% chance of $550,None of the above,$60 ,1,3,1,2,9,9,10,4,8,1700,11/29/2020 17:20,644c3d1a-6617-4fc8-b8c0-346392599b5f.5fc3d5c1-be26-d8b1-924b-3aed111d2a6b,,
