,Name,Picture,Rarity,Family,Role,Max HP,Max MP,Max ATK,Max DEF,Max AGL,Max WIS,Move,Frizz,Sizz,Crack,Woosh,Bang,Zap,Zam,,Sleep,Poison,Physical Lock,Spell Lock,Martial Lock,Breath Lock,Hobble,Stun,Blind,Curse,Paralysis,Confusion,Charmed,,Leader Skill,1st Awakening Passive,Ability Scroll Suggestion,How to Obtain,Battle Road?,Skill 1 - Damage Type,Skill 1 - Damage Element,Skill 1 - Type/Range,Skill 1 - Cost,Skill 1 - Name,Skill 1 - Description,Skill 2 - Damage Type,Skill 2 - Damage Element,Skill 2 - Type/Range,Skill 2 - Cost,Skill 2 - Name,Skill 2 - Description,Skill 3 - Damage Type,Skill 3 - Damage Element,Skill 3 - Range,Skill 3 - Cost,Skill 3 - Name,Skill 3 - Description
3,Archdemon,,S,Demon,Magic,705,443,250,296,293,312,2,,Heavy Res,,Weak,Heavy Res,Weak,,,,,Half Res,,Weak,,Half Res,,,Weak,,Immune,,,Lowers spell MP cost by 10%.,Sporadic MP Regen: Action start: Occasionally recovers 10% of MP.,Teach a B rank Frizz or Zam spell.,Gacha,,Attack/Spell,Bang,Range: Cross 2,Base MP: 30,Boom,Deals moderate Bang-type spell damage to all enemies in area of effect.,Attack/Martial,Crack,Range: Radius 1,Base MP: 26,Glacier,Deals moderate Crack-type martial damage to all enemies in area of effect.,Attack/Spell,Bang,Range: Cross 2,Base MP: 137,Kaboom,Deals major Bang-type spell damage to all enemies in area of effect.
4,Dragonlord,,S,???,Magic,663,402,260,276,301,368,2,,Weak,Weak,Heavy Res,,Heavy Res,,,Half Res,,,Half Res,,,Weak,Weak,,,Immune,,,,Raises Frizz-type spell potency by 20%.,"Frizz-type Ability Tricks: Lowers Frizz-type ability MP cost by 10%, raises potency.","Teach a B rank Zap, Bang or Woosh spell.",Limited Time Gacha,Yes - limited time,Attack/Spell,Frizz,Range: 3,Base MP: 16,Frizzle,Deals moderate Frizz-type spell damage to 1 enemy.,Attack/Spell,Frizz,Range: 3,Base MP: 72,Kafrizz,Deals major Frizz-type spell damage to 1 enemy.,Attack/Spell,Frizz,Range: 2x3,Base MP: 108,Hellfire Blast,Deals Frizz-type moderate spell damage to random enemies in area of effect 4 times.
5,Dragonlord's True Form,,S,???,Attack,877,367,398,308,266,215,2-3*,,Weak,Weak,Heavy Res,,Heavy Res,,,Immune,,,Weak,,Half Res,,,,,,Weak,Half Res,,Lowers enemy DEF by 20%.,Instant Partyboost: Battle start: Raises ATK for 3 turns.,,Limited Time Gacha,,Attack/Physical,Zam,Range: 1,Base MP: 20,Jet Black Claws,Deals 195% potency Zam-type physical damage to 1 enemy.,Attack/Breath,Frizz,Range: Fan,Base MP: 89,Fire,Deals major Frizz-type breath damage to all enemies in area of effect.,Attack/Physical,Typeless,Range: Radius 1,Base MP: 54,Dragon Swing,Deals 255% potency physical damage to all enemies in area of effect.
6,Emperor Slime,,S,Slime,Support,365,367,260,537,242,321,2,,Heavy Res,Heavy Res,Weak,,,Weak,,Weak,,,Weak,,,,,Immune,Half Res,,,Half Res,,Raises slime DEF by 30%.,Sporadic MP Regen: Action start: Occasionally recovers 10% of MP.,Any B rank elemental spell.,Gacha,,Support/Spell,Typeless,Range: 1-3(+self),Base MP: 24,Kabuff,Raises DEF of all allies in area of effect for 3 turns.,Support/Martial,Typeless,Range: 1-2(+self),Base MP: 28,Cheer,Raises 1 ally's ATK and DEF for 3 turns.,Support/Spell,Typeless,Range: 1-2(+self),Base MP: 68,Multiheal,Heals a major amount of HP for all allies in area of effect.
7,Great Dragon,,S,Dragon,Attack,690,356,336,320,403,215,2,Heavy Res,Heavy Res,,Weak,,Weak,,,,Weak,,,,Half Res,,,,,Half Res,Immune,Weak,,Raises dragon breath potency by 20%.,"Crack-type Ability Tricks: Lowers Crack-type ability MP cost by 10%, raises potency.",Another B rank elemental breath.,Gacha,,Attack/Breath,Crack,Range: Straight line 3,Base MP: 27,Chilly Breath,Deals moderate Crack-type breath damage to all enemies in area of effect.,Attack/Physical,Crack,Range: 1,Base MP: 17,Blizzard Rush,Deals 180% potency Crack-type physical damage to 1 enemy.,Attack/Breath,Crack,Range: Straight line 3,Base MP: 81,C-C-Cold Breath,Deals major Crack-type breath damage to all enemies in area of effect.
8,Great Troll,,S,Demon,Defence,1035,315,382,225,295,231,2,,Weak,Weak,Heavy Res,,Heavy Res,,,,,,Half Res,,Weak,,Half Res,,,Weak,,Immune,,Lowers enemy's ATK by 10%.,Instant Buff: Battle start: Greatly raises DEF for 3 turns.,Another B rank physical elemental attack.,Gacha,,Attack/Physical,Typeless,Range: Radius 1,Base MP: 30,Rolling Attack,Deals 175% potency physical damage to all enemies in area of effect.,Attack/Physical,Zam,Range: 1,Base MP: 17,Dark Spike,Deals 180% potency Zam-type physical damage to 1 enemy.,Attack/Physical,Typeless,Range: Radius 1,Base MP: 52,Spinning Wheel,Deals 250% potency physical damage to all enemies in area of effect.
9,Hell Gladiator,,S,Undead,Debuff,963,312,395,260,305,248,2,Weak,Weak,,,Heavy Res,Heavy Res,,,Half Res,Half Res,,,Weak,,,,Weak,,Immune,,,,Lowers enemy poison resistance by 50%.,Sporadic HP Regen: Action start: Occasionally recovers 10% of HP.,Another B rank physical elemental attack.,Gacha,,Debuff/Physical,Typeless,Range: 1,Base MP: 28,Mince,"Deals 60% potency physical damage to 1 enemy 3 times, rarely lowers DEF for 3 turns.",Attack/Physical,Woosh,Range: 1,Base MP: 17,Aeolian Slash,Deals 180% potency Woosh-type physical damage to 1 enemy.,Debuff/Physical,Typeless,Range: 1,Base MP: 60,Poison Slashes,"Deals 70% potency physical damage to 1 enemy 4 times, occasionally poisons."
10,Hybird,,S,Nature,Attack,618,361,256,217,436,292,4,Heavy Res,,Weak,Heavy Res,Weak,,,,Weak,Weak,,,,Half Res,Immune,,,,Half Res,,,,Lowers enemy Frizz resistance by 25%.,"Breath Tricks: Lowers breath ability MP cost by 10%, raises potency and effect.",Another B rank elemental spell or support.,Gacha,,Attack/Spell,Frizz,Range: Straight line 3,Base MP: 27,Searing Breath,Deals moderate Frizz-type breath damage to all enemies in area of effect.,Attack/Spell,Sizz,Range: Front 3 ,Base MP: 24,Sizzle,Deals moderate Sizz-type spell damage to all enemies in area of effect.,Attack/Breath,Frizz,Range: Straight line 3,Base MP: 81,Scorch,Deals major Frizz-type breath damage to all enemies in area of effect.
11,Killer Machine,,S,Inorganic,Attack,636,288,432,430,297,221,2-3,Heavy Res,,,,Weak,Weak,Heavy Res,,Half Res,Immune,,,Half Res,,Weak,,,,,Weak,,,Raises Crack-type physical potency by 20%,Move +1: Raises Move by 1.,Another B rank physical elemental attack.,Limited Time Gacha,,Attack/Physical,Crack,Range: 1,Base MP: 17,Blizzard Rush,Deals 180% potency Crack-type physical damage to 1 enemy.,Attack/Physical,Typeless,Range: Radius 1,Base MP: 30,Rolling Attack,Deals 175% potency physical damage to all enemies in area of effect.,Attack/Physical,Crack,Range: 1,Base MP: 38,Kacrackle Slash,Deals 270% potency Crack-type physical damage to 1 enemy.
12,King She-Slime,,S,Slime,Debuff,823,391,317,296,283,283,2,Heavy Res,,,,Weak,Weak,Heavy Res,,Weak,,,Weak,,,,,Immune,Half Res,,,Half Res,,Raises martial potency by 10%.,"Martial Tricks: Lowers martial ability MP cost by 10%, raises potency and effect.",Any B rank martial attack.,Gacha,,Attack/Martial,Typeless,Range: Straight line 2,Base MP: 25,Blow Away,"Deals moderate martial damage to all enemies in area of effect, and knocks them back 3 spaces.",Attack/Spell,Sizz,Range: Front 3 ,Base MP: 24,Sizzle,Deals moderate Sizz-type spell damage to all enemies in area of effect.,Attack/Martial,Typeless,Range: Fan,Base MP: 46,Head-Butt Charge,"Deals moderate martial damage to all enemies in area of effect, and knocks them back 2 spaces."
